signal_id,signal_ts,dte_bucket,underlying,strategy_type,contract_details,dte_actual,scanner_version,export_git_sha,signal_source,conviction_status,composite_score,predicted_pop,predicted_pop_source,weights_sum,spot_price,option_bid,option_ask,option_mark,option_mid,spread_pct,cost_drag_ratio,round_trip_cost_usd,iv,iv_rank_252d,iv_percentile,iv_rank_source,iv_skew,implied_move_to_expiry,implied_move_usd,realized_vol_20d,vrp,vrp_ratio,term_slope,volume,open_interest,earnings_days_away,time_of_day_bucket,legs_nbbo_json,net_delta_modeled,greeks_source,regime_tag,regime_vol,regime_tape,signal_build_sha,entry_price_basis,entry_price,slippage_model,profit_definition,exit_rule,outcome,exit_ts,exit_ts_is_measured,exit_price_basis,exit_price,exit_reason,pnl_usd_net,pnl_usd_gross,costs_usd,pnl_pct,r_multiple,mfe,mae,mfe_ts,mae_ts,bars_observed,hold_minutes,elapsed_days,outcome_source,session_segment_score,gex_proxy,pnl_at_1tick_worse,pnl_at_half_spread_worse,cost_stress_source,theta_at_entry,vega_at_entry,component_1_name,component_1_raw,component_1_weight,component_1_direction,component_2_name,component_2_raw,component_2_weight,component_2_direction,component_3_name,component_3_raw,component_3_weight,component_3_direction,component_4_name,component_4_raw,component_4_weight,component_4_direction,component_5_name,component_5_raw,component_5_weight,component_5_direction,component_6_name,component_6_raw,component_6_weight,component_6_direction,component_7_name,component_7_raw,component_7_weight,component_7_direction,component_8_name,component_8_raw,component_8_weight,component_8_direction
sd:1ed7b7d5ae8b,2026-07-31T23:33:54.832140-04:00,1-5DTE,MSFT,long_call,B1x460C@2026-08-03,2,sd-scoring-2026.07-v3,a517377,scan,UNCALIBRATED,0.5566,0.2819,bs_zero_drift_traded_expiry_iv,100.0,461.99,6.9,7.45,NA_not_implemented,7.175,0.0767,0.0767,55.0,0.302,0.4334,0.6932,iv_history,0.09,0.0197,9.097,0.5669,-0.2649,0.5327,NA_no_data,6785,1109,88,outside_rth,"[{""strike"":460.0,""type"":""call"",""expiration"":""2026-08-03"",""qty"":1,""bid"":6.9,""ask"":7.45,""mid"":7.175,""spread"":0.55,""volume"":6785,""open_interest"":1109,""iv"":0.2579,""delta"":0.5976,""gamma"":0.0439,""theta"":-0.8831,""vega"":0.1323,""greeks_source"":""black_scholes_modeled"",""quote_source"":""unusual_whales""}]",0.5976,black_scholes_modeled,midvol/uptape,midvol,uptape,a5173775b1ec,modeled_mid,7.17,"commission_only; mid-to-mid marks, no synthetic slippage added",unresolved_open_signal,NA_no_data,unknown,2026-07-31T23:34:21.139894-04:00,False,modeled_mid,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,0,NA_no_data,unresolved_open_signal,NA_not_implemented,NA_not_implemented,NA_no_data,NA_no_data,NA_no_data,-0.8831,0.1323,daily_trend,0.18,20.0,higher_raw_increases_score,catalyst_news,0.735,15.0,higher_raw_increases_score,multi_session_flow,0.6,15.0,higher_raw_increases_score,market_alignment,0.666,10.0,higher_raw_increases_score,volatility,0.937,10.0,higher_raw_increases_score,contract_liquidity,0.25,10.0,higher_raw_increases_score,technical_entry,0.7,10.0,higher_raw_increases_score,risk_reward,0.65,10.0,higher_raw_increases_score
sd:696df9713726,2026-07-31T23:33:54.832140-04:00,1-5DTE,MSFT,bull_call_spread,B1x455C@2026-08-05 / S1x480C@2026-08-05,4,sd-scoring-2026.07-v3,a517377,scan,UNCALIBRATED,0.5472,0.3692,bs_zero_drift_traded_expiry_iv,100.0,461.99,12.65,14.25,NA_not_implemented,13.45,0.119,0.1496,177.0,0.302,0.4334,0.6932,iv_history,0.09,0.0328,15.1628,0.5669,-0.2649,0.5327,NA_no_data,370,410,88,outside_rth,"[{""strike"":455.0,""type"":""call"",""expiration"":""2026-08-05"",""qty"":1,""bid"":12.65,""ask"":14.25,""mid"":13.45,""spread"":1.6,""volume"":370,""open_interest"":410,""iv"":0.3446,""delta"":0.6747,""gamma"":0.0216,""theta"":-0.7831,""vega"":0.1741,""greeks_source"":""black_scholes_modeled"",""quote_source"":""unusual_whales""},{""strike"":480.0,""type"":""call"",""expiration"":""2026-08-05"",""qty"":-1,""bid"":1.53,""ask"":1.7,""mid"":1.615,""spread"":0.17,""volume"":3192,""open_interest"":774,""iv"":0.3025,""delta"":0.1194,""gamma"":0.0136,""theta"":-0.3704,""vega"":0.0964,""greeks_source"":""black_scholes_modeled"",""quote_source"":""unusual_whales""}]",0.5553,black_scholes_modeled,midvol/uptape,midvol,uptape,a5173775b1ec,modeled_mid,11.84,"commission_only; mid-to-mid marks, no synthetic slippage added",unresolved_open_signal,NA_no_data,unknown,2026-07-31T23:34:21.140367-04:00,False,modeled_mid,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,0,NA_no_data,unresolved_open_signal,NA_not_implemented,NA_not_implemented,NA_no_data,NA_no_data,NA_no_data,-0.4127,0.0777,daily_trend,0.18,20.0,higher_raw_increases_score,catalyst_news,0.735,15.0,higher_raw_increases_score,multi_session_flow,0.6,15.0,higher_raw_increases_score,market_alignment,0.666,10.0,higher_raw_increases_score,volatility,0.937,10.0,higher_raw_increases_score,contract_liquidity,0.25,10.0,higher_raw_increases_score,technical_entry,0.7,10.0,higher_raw_increases_score,risk_reward,0.556,10.0,higher_raw_increases_score
sd:a81db0263e4a,2026-07-31T23:33:54.832140-04:00,1-5DTE,INTC,bull_call_spread,B1x92C@2026-08-03 / S1x96C@2026-08-03,2,sd-scoring-2026.07-v3,a517377,scan,UNCALIBRATED,0.4976,0.2035,bs_zero_drift_traded_expiry_iv,100.0,89.2102,1.41,1.57,NA_not_implemented,1.49,0.1074,0.2176,21.0,0.818,0.6785,0.8048,iv_history,0.0482,0.0514,4.5839,0.8369,-0.0189,0.9774,NA_no_data,1963,429,82,outside_rth,"[{""strike"":92.0,""type"":""call"",""expiration"":""2026-08-03"",""qty"":1,""bid"":1.41,""ask"":1.57,""mid"":1.49,""spread"":0.16,""volume"":1963,""open_interest"":429,""iv"":0.7161,""delta"":0.2911,""gamma"":0.0725,""theta"":-0.4081,""vega"":0.0226,""greeks_source"":""black_scholes_modeled"",""quote_source"":""unusual_whales""},{""strike"":96.0,""type"":""call"",""expiration"":""2026-08-03"",""qty"":-1,""bid"":0.5,""ask"":0.55,""mid"":0.525,""spread"":0.05,""volume"":3210,""open_interest"":1342,""iv"":0.7016,""delta"":0.0834,""gamma"":0.0331,""theta"":-0.1785,""vega"":0.0101,""greeks_source"":""black_scholes_modeled"",""quote_source"":""unusual_whales""}]",0.2077,black_scholes_modeled,midvol/downtape,midvol,downtape,a5173775b1ec,modeled_mid,0.96,"commission_only; mid-to-mid marks, no synthetic slippage added",unresolved_open_signal,NA_no_data,unknown,2026-07-31T23:34:21.140527-04:00,False,modeled_mid,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,0,NA_no_data,unresolved_open_signal,NA_not_implemented,NA_not_implemented,NA_no_data,NA_no_data,NA_no_data,-0.2296,0.0125,daily_trend,0.0,20.0,higher_raw_increases_score,catalyst_news,0.771,15.0,higher_raw_increases_score,multi_session_flow,0.6,15.0,higher_raw_increases_score,market_alignment,0.666,10.0,higher_raw_increases_score,volatility,0.758,10.0,higher_raw_increases_score,contract_liquidity,0.196,10.0,higher_raw_increases_score,technical_entry,0.3,10.0,higher_raw_increases_score,risk_reward,1.0,10.0,higher_raw_increases_score
sd:21e860da9b41,2026-07-31T23:33:54.832140-04:00,1-5DTE,INTC,long_call,B1x90C@2026-08-05,4,sd-scoring-2026.07-v3,a517377,scan,UNCALIBRATED,0.4626,0.2777,bs_zero_drift_traded_expiry_iv,100.0,89.2102,3.55,3.9,NA_not_implemented,3.725,0.094,0.094,35.0,0.818,0.6785,0.8048,iv_history,0.0482,0.0906,8.0835,0.8369,-0.0189,0.9774,NA_no_data,111,265,82,outside_rth,"[{""strike"":90.0,""type"":""call"",""expiration"":""2026-08-05"",""qty"":1,""bid"":3.55,""ask"":3.9,""mid"":3.725,""spread"":0.35,""volume"":111,""open_interest"":265,""iv"":0.8955,""delta"":0.4831,""gamma"":0.0477,""theta"":-0.4211,""vega"":0.0372,""greeks_source"":""black_scholes_modeled"",""quote_source"":""unusual_whales""}]",0.4831,black_scholes_modeled,midvol/downtape,midvol,downtape,a5173775b1ec,modeled_mid,3.73,"commission_only; mid-to-mid marks, no synthetic slippage added",unresolved_open_signal,NA_no_data,unknown,2026-07-31T23:34:21.140645-04:00,False,modeled_mid,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,0,NA_no_data,unresolved_open_signal,NA_not_implemented,NA_not_implemented,NA_no_data,NA_no_data,NA_no_data,-0.4211,0.0372,daily_trend,0.0,20.0,higher_raw_increases_score,catalyst_news,0.771,15.0,higher_raw_increases_score,multi_session_flow,0.6,15.0,higher_raw_increases_score,market_alignment,0.666,10.0,higher_raw_increases_score,volatility,0.758,10.0,higher_raw_increases_score,contract_liquidity,0.196,10.0,higher_raw_increases_score,technical_entry,0.3,10.0,higher_raw_increases_score,risk_reward,0.65,10.0,higher_raw_increases_score
sd:0dc10ea1cd5f,2026-07-31T23:33:54.832140-04:00,1-5DTE,AMD,bull_call_spread,B1x475C@2026-08-05 / S1x550C@2026-08-05,4,sd-scoring-2026.07-v3,a517377,scan,UNCALIBRATED,0.4331,0.3147,bs_zero_drift_traded_expiry_iv,100.0,472.1454,22.85,24.4,NA_not_implemented,23.625,0.0656,0.1018,200.0,0.786,0.7886,0.9283,iv_history,0.067,0.1087,51.3419,0.8566,-0.0706,0.9176,NA_no_data,55,549,3,outside_rth,"[{""strike"":475.0,""type"":""call"",""expiration"":""2026-08-05"",""qty"":1,""bid"":22.85,""ask"":24.4,""mid"":23.625,""spread"":1.55,""volume"":55,""open_interest"":549,""iv"":1.0751,""delta"":0.5026,""gamma"":0.0075,""theta"":-2.6736,""vega"":0.1972,""greeks_source"":""black_scholes_modeled"",""quote_source"":""unusual_whales""},{""strike"":550.0,""type"":""call"",""expiration"":""2026-08-05"",""qty"":-1,""bid"":3.75,""ask"":4.2,""mid"":3.975,""spread"":0.45,""volume"":1954,""open_interest"":1020,""iv"":1.0795,""delta"":0.0985,""gamma"":0.0033,""theta"":-1.1624,""vega"":0.0858,""greeks_source"":""black_scholes_modeled"",""quote_source"":""unusual_whales""}]",0.4041,black_scholes_modeled,highvol/downtape,highvol,downtape,a5173775b1ec,modeled_mid,19.65,"commission_only; mid-to-mid marks, no synthetic slippage added",unresolved_open_signal,NA_no_data,unknown,2026-07-31T23:34:21.140786-04:00,False,modeled_mid,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,0,NA_no_data,unresolved_open_signal,NA_not_implemented,NA_not_implemented,NA_no_data,NA_no_data,NA_no_data,-1.5112,0.1114,daily_trend,0.0,20.0,higher_raw_increases_score,catalyst_news,0.5,15.0,higher_raw_increases_score,multi_session_flow,0.6,15.0,higher_raw_increases_score,market_alignment,0.666,10.0,higher_raw_increases_score,volatility,0.642,10.0,higher_raw_increases_score,contract_liquidity,0.073,10.0,higher_raw_increases_score,technical_entry,0.3,10.0,higher_raw_increases_score,risk_reward,1.0,10.0,higher_raw_increases_score
sd:8bc2459f5daa,2026-07-31T23:33:54.832140-04:00,1-5DTE,AMD,long_call,B1x475C@2026-08-05,4,sd-scoring-2026.07-v3,a517377,scan,UNCALIBRATED,0.3981,0.2891,bs_zero_drift_traded_expiry_iv,100.0,472.1454,22.85,24.4,NA_not_implemented,23.625,0.0656,0.0656,155.0,0.786,0.7886,0.9283,iv_history,0.067,0.1087,51.3419,0.8566,-0.0706,0.9176,NA_no_data,55,549,3,outside_rth,"[{""strike"":475.0,""type"":""call"",""expiration"":""2026-08-05"",""qty"":1,""bid"":22.85,""ask"":24.4,""mid"":23.625,""spread"":1.55,""volume"":55,""open_interest"":549,""iv"":1.0751,""delta"":0.5026,""gamma"":0.0075,""theta"":-2.6736,""vega"":0.1972,""greeks_source"":""black_scholes_modeled"",""quote_source"":""unusual_whales""}]",0.5026,black_scholes_modeled,highvol/downtape,highvol,downtape,a5173775b1ec,modeled_mid,23.62,"commission_only; mid-to-mid marks, no synthetic slippage added",unresolved_open_signal,NA_no_data,unknown,2026-07-31T23:34:21.140929-04:00,False,modeled_mid,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,NA_no_data,0,NA_no_data,unresolved_open_signal,NA_not_implemented,NA_not_implemented,NA_no_data,NA_no_data,NA_no_data,-2.6736,0.1972,daily_trend,0.0,20.0,higher_raw_increases_score,catalyst_news,0.5,15.0,higher_raw_increases_score,multi_session_flow,0.6,15.0,higher_raw_increases_score,market_alignment,0.666,10.0,higher_raw_increases_score,volatility,0.642,10.0,higher_raw_increases_score,contract_liquidity,0.073,10.0,higher_raw_increases_score,technical_entry,0.3,10.0,higher_raw_increases_score,risk_reward,0.65,10.0,higher_raw_increases_score
